DR1ILINE,DR1DRSTZ,DRABF,DR1DAY,DR1LANG,DR1CCMTX,DR1_030Z,DR1FS,DR1_040Z,DR1IGRMS
10,1,2,4,1,5.40E-79,6,3,1,33.75
11,1,2,4,1,5.40E-79,3,3,1,178.5
12,1,2,4,1,5.40E-79,3,1,1,62
13,1,2,4,1,5.40E-79,3,1,1,75
1,1,2,3,1,5.40E-79,8,1,1,243.2
2,1,2,3,1,5.40E-79,8,1,1,18
3,1,2,3,1,5.40E-79,8,1,1,243.2
4,1,2,3,1,5.40E-79,8,1,1,4
5,1,2,3,1,5.40E-79,8,1,1,243.2
6,1,2,3,1,5.40E-79,8,1,1,1.75
7,1,2,3,1,5.40E-79,8,1,1,243.2
8,1,2,3,1,5.40E-79,8,1,1,0.88
9,1,2,3,1,5.40E-79,8,1,1,243.2
10,1,2,3,1,5.40E-79,8,1,1,243.2
11,1,2,3,1,1,8,1,1,3.8
12,1,2,3,1,1,8,1,1,243.2
1,4,1,2,1,5.40E-79,8,,,
2,4,1,2,1,5.40E-79,1,19,1,50
3,4,1,2,1,3,1,1,1,16.5
4,4,1,2,1,3,1,1,1,9.33
5,4,1,2,1,5.40E-79,6,1,1,120
6,4,1,2,1,1,6,1,1,244
7,4,1,2,1,1,6,1,1,5
8,4,1,2,1,5.40E-79,2,1,1,113.4
9,4,1,2,1,5.40E-79,2,,1,180
